County-State,County,Population,Median household income,State Code,State
"Autauga County, Alabama",Autauga County,55221,51281,AL,Alabama
"Baldwin County, Alabama",Baldwin County,195121,50254,AL,Alabama
"Barbour County, Alabama",Barbour County,26932,32964,AL,Alabama
"Bibb County, Alabama",Bibb County,22604,38678,AL,Alabama
"Blount County, Alabama",Blount County,57710,45813,AL,Alabama
"Bullock County, Alabama",Bullock County,10678,31938,AL,Alabama
"Butler County, Alabama",Butler County,20354,32229,AL,Alabama
"Calhoun County, Alabama",Calhoun County,116648,41703,AL,Alabama
"Chambers County, Alabama",Chambers County,34079,34177,AL,Alabama
"Cherokee County, Alabama",Cherokee County,26008,36296,AL,Alabama
"Chilton County, Alabama",Chilton County,43819,41627,AL,Alabama
"Choctaw County, Alabama",Choctaw County,13395,33536,AL,Alabama
"Clarke County, Alabama",Clarke County,25070,32011,AL,Alabama
"Clay County, Alabama",Clay County,13537,35327,AL,Alabama
"Cleburne County, Alabama",Cleburne County,15002,38056,AL,Alabama
"Coffee County, Alabama",Coffee County,50884,46729,AL,Alabama
"Colbert County, Alabama",Colbert County,54444,40576,AL,Alabama
"Conecuh County, Alabama",Conecuh County,12865,24900,AL,Alabama
"Coosa County, Alabama",Coosa County,11027,31212,AL,Alabama
"Covington County, Alabama",Covington County,37886,36444,AL,Alabama
"Crenshaw County, Alabama",Crenshaw County,13938,36022,AL,Alabama
"Cullman County, Alabama",Cullman County,80965,38971,AL,Alabama
"Dale County, Alabama",Dale County,49866,45028,AL,Alabama
"Dallas County, Alabama",Dallas County,42154,27306,AL,Alabama
"DeKalb County, Alabama",DeKalb County,71068,38192,AL,Alabama
"Elmore County, Alabama",Elmore County,80763,53555,AL,Alabama
"Escambia County, Alabama",Escambia County,37935,32330,AL,Alabama
"Etowah County, Alabama",Etowah County,103766,39220,AL,Alabama
"Fayette County, Alabama",Fayette County,16896,34680,AL,Alabama
"Franklin County, Alabama",Franklin County,31634,35372,AL,Alabama
"Geneva County, Alabama",Geneva County,26815,36024,AL,Alabama
"Greene County, Alabama",Greene County,8697,20541,AL,Alabama
"Hale County, Alabama",Hale County,15256,32714,AL,Alabama
"Henry County, Alabama",Henry County,17252,41997,AL,Alabama
"Houston County, Alabama",Houston County,103534,41571,AL,Alabama
"Jackson County, Alabama",Jackson County,52860,37745,AL,Alabama
"Jefferson County, Alabama",Jefferson County,659026,45610,AL,Alabama
"Lamar County, Alabama",Lamar County,14133,35450,AL,Alabama
"Lauderdale County, Alabama",Lauderdale County,92737,43125,AL,Alabama
"Lawrence County, Alabama",Lawrence County,33586,40003,AL,Alabama
"Lee County, Alabama",Lee County,150982,44570,AL,Alabama
"Limestone County, Alabama",Limestone County,88805,49570,AL,Alabama
"Lowndes County, Alabama",Lowndes County,10742,25876,AL,Alabama
"Macon County, Alabama",Macon County,20018,30738,AL,Alabama
"Madison County, Alabama",Madison County,346438,57993,AL,Alabama
"Marengo County, Alabama",Marengo County,20306,32042,AL,Alabama
"Marion County, Alabama",Marion County,30387,32299,AL,Alabama
"Marshall County, Alabama",Marshall County,94318,38983,AL,Alabama
"Mobile County, Alabama",Mobile County,414251,43809,AL,Alabama
"Monroe County, Alabama",Monroe County,22217,27257,AL,Alabama
"Montgomery County, Alabama",Montgomery County,228138,44369,AL,Alabama
"Morgan County, Alabama",Morgan County,119786,45751,AL,Alabama
"Perry County, Alabama",Perry County,10038,24537,AL,Alabama
"Pickens County, Alabama",Pickens County,19856,30330,AL,Alabama
"Pike County, Alabama",Pike County,33155,32825,AL,Alabama
"Randolph County, Alabama",Randolph County,22648,36924,AL,Alabama
"Russell County, Alabama",Russell County,58302,37049,AL,Alabama
"St. Clair County, Alabama",St. Clair County,85864,51859,AL,Alabama
"Shelby County, Alabama",Shelby County,203530,70187,AL,Alabama
"Sumter County, Alabama",Sumter County,13341,19501,AL,Alabama
